title,credit,btn href
Pregnancy and Substance Use: A Harm Reduction Toolkit,National Harm Reduction Coalition,https://drive.google.com/file/d/1IGaBVOtfpiGSzawK3VT-M9BCbqMH3eP6/preview
"Providing Abortion Care: A Professional Toolkit for Nurse-Midwives, Nurse Practitioners, and Physician Assistants",Abortion Access Project,https://drive.google.com/file/d/1F602bMsTC9yTIRhyu4qRkDqXNJNehWvP/preview
Abortion Care for Young Women: A Training Toolkit,Ipas Partners for Reproductive Justice,https://drive.google.com/file/d/1yIWIaMwcF9_UEQDrz-ZtA52OpZft2A2U/preview
Abortion Stigma Ends Here,Ipas Partners for Reproductive Justice,https://drive.google.com/file/d/18OcLTNS8kGaHeEaVGMUAbDvy4ojsbcmC/preview
Abortion Stigma Around the World,International Network for the Reduction of Abortion Discrimination and Stigma,https://drive.google.com/file/d/1EfknjBhwSNLNw9WqMjSDoXci5o3ay6WC/preview
Abortion Framing Toolkit,Women on Web,https://drive.google.com/file/d/1UWo4ClnxVciFb7uNJHNJ4zKleA_Lm6km/preview
Here for a Reason: 2020 - 2021 Annual Report,Planned Parenthood,https://drive.google.com/file/d/1PJ2UmCMSv40L4DN1tJqDEBH54w15ttF4/preview
Roe's Unfinished Promise,The SIA Legal Team,https://drive.google.com/file/d/1H6AXNnn7TZasnOouHTr4CDGuHWaQe5IF/preview
"Self-Care, Criminalized",If/When/How,https://drive.google.com/file/d/1R8OGn_2FB0dxKRsW3ze0Xg40_11q1R9d/preview
Trans and Gender Diverse Parents Guide,Rainbow Families,https://drive.google.com/file/d/19Rc5xi7stzPmdzcQBtZo6VeUWc7qq_EF/preview
"Advancing Reproductive Rights, Health, and Justice With Local Resolutions",All Above All,https://drive.google.com/file/d/1rzDeR_8mC6UbdffTARHb1I8xl636zSDH/preview
Prenatal Drug Exposure: CAPTA Reporting Requirements for Medical Professionals,If/When/How,https://drive.google.com/file/d/1E13ZK6OKI7kmZXye_WpQXqwWDGNh-4dY/preview
Abortion Resolution Workbook,Margaret R. Johnston,https://drive.google.com/file/d/1hfgmfESnLE6QyHs8TRIx8mtGzsJtH5-C/preview
Social Media Fails Women,Ultra Violet,https://drive.google.com/file/d/1ufeRQwyzJSx1FPocAWSxqeuuzWZUXUQS/preview
Reporting in an Era of Disinformation,Ultra Violet,https://drive.google.com/file/d/1icl-fxkNpsZqBTJCgwFVTGIN7KpT5SzZ/preview
Social Media Fails Women: The Report Card,Ultra Violet,https://drive.google.com/file/d/1X6W19A6mwWaSK55fmiz5fDb-j1bpFr6K/preview
How to Educate About Abortion,International Planned Parenthood Federation,https://drive.google.com/file/d/1Y-8jjgt2lctpwpAYvhgsPhOUEtXvVfLh/preview
Body Politics: The Criminalization of Sexuality and Reproduction,Amnesty International,https://drive.google.com/file/d/18cuMWezZk8aQ9GWb4JzF4xclY9L9eJR7/preview
Integrating Medication Abortion Into Primary Care,Reproductive Health Access Project,https://drive.google.com/file/d/1aUFHYxZficHFiBg3JUCzaf7tPygFlHkY/preview
Future of Abortion Council Toolkit,National Health Law Program,https://drive.google.com/file/d/1qqI8ZPHMrlYmfpzieR5vM8ijCyDCwfcK/preview
Queering Reproductive Justice: A Mini-Toolkit,National LGBTQ Task Force,https://drive.google.com/file/d/1XNI_DXgBnaL5QUPNALe_GIz1jO_n1mFo/preview
Dobbs Was Not the Beginning: A Guide on Pregnancy Criminalization,Repro Legal Defense Fund,https://drive.google.com/file/d/14nL7aTVokk5lzB7TgqWZu9veGzHk3uz9/preview
Providing Inclusive Care for LGBTQ Patients,Essential Access Health,https://drive.google.com/file/d/1K8SRC_FAV7jz8IkG4rTJCxqfee1fK7TR/preview
How to Talk About Abortion: A Guide to Rights-Based Messaging,International Planned Parenthood Federation,https://drive.google.com/file/d/1e70-Y7MhCHCZ3dHxLdNQz2xO9tb2uO-D/preview
Reproductive Coercion and Abuse Report,If/When/How,https://drive.google.com/file/d/1y18Tj_kBgpr7nDJSARnp-wrcUHLLqNPz/preview
Post-Roe Advocacy Toolkit,Bans Off Abortion,https://drive.google.com/file/d/1tOl7KUFoo6Kk-_IH1oKz5_uDOQPPUnZI/preview
Anti-Abortion Ad Tech: Ad Tech Puts Abortion Seekers at Risk,Surveillance Technology Oversight Project,https://drive.google.com/file/d/1ySQLX-9IPIX11oRIISCKoQ_aPv78p0dU/preview
Pregnancy Panopticon: Abortion Surveillance After Roe,Surveillance Technology Oversight Project,https://drive.google.com/file/d/1aWAtbzdBo7bOjvGpMQnicBDLNylNZ3rB/preview
Roadblock to Care: Barriers to Out-of-State Travel for Abortion and Gender Affirming Care,Surveillance Technology Oversight Project,https://drive.google.com/file/d/1Q91S9KcvTelmRY8dh-2s3hUkz8Dy35nU/preview
How to Protect Your Digital Safety Today,"Tor, Repro Uncensored, Digital Defense Fund, Plan C, Accountable Tech",https://drive.google.com/file/d/1-27qaJe73qiHVSI1edScXlsKGCrXSKkp/preview
Abortion Self-Care: Values Clarification for Action and Transformation,Ipas Partners for Reproductive Justice,https://drive.google.com/file/d/1636N0m21yGIJNi9B9R7vVGTilTzQ1MSt/preview
2024: Weaving Collective Power for Abortion Justice Worldwide,makeinroads.org,https://drive.google.com/file/d/1iOEP6jn8BQxtK_TXGNIPMqPw-8JTybB0/preview
